npb_name,origin_country_ja,origin_country_en,likely_origin_league,npb_first_year,first_team,player_type,position,english_name,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
ジャクソン,アメリカ,USA,MLB,2016,広島,pitcher,投手,,,,,,,1.71,68.1,1.01
ジャンセン・ウィティ,,,Unknown,2022,西武,hitter,,,,128,0.192,0.51,0.2322,,,
ジョンソン,,,Unknown,2015,広島,pitcher,,,,,,,,1.85,194.1,1.10
ジョーダン,,,Unknown,2016,,pitcher,,,,,,,,4.24,121.0,1.36
ジョーンズ,,,Unknown,2020,オリックス,hitter,,,,338,0.258,0.749,0.3406,,,
ジー,,,Unknown,2018,中日,pitcher,,,,,,,,4.00,27.0,1.22
スアレス,,,Unknown,2016,ソフトバンク,pitcher,,,,,,,,3.19,53.2,1.25
スコット,,,Unknown,2020,広島,pitcher,,,,,,,,15.75,8.0,3.13
スタンリッジ,,,Unknown,2015,,pitcher,,,,,,,,3.74,144.1,1.34
スチュワート・ジュニア,アメリカ,USA,MLB,2019,ソフトバンク,pitcher,投手,,,,,,,,,
スティーブンソン,アメリカ,USA,MLB,2024,日本ハム,hitter,外野手,,,63,0.161,0.368,0.1716,,,
スパンジェンバーグ,,,Unknown,2020,西武,hitter,,,,445,0.268,0.807,0.3602,,,
スパークマン,,,Unknown,2021,オリックス,pitcher,,,,,,,,6.88,17.0,1.35
スミス,,,Unknown,2022,西武,pitcher,,,,,,,,3.29,38.1,1.15
スモーク,,,Unknown,2021,巨人,hitter,,,,125,0.272,0.818,0.3673,,,
セデーニョ,ベネズエラ,Venezuela,MLB,2023,オリックス,hitter,内野手,,,187,0.244,0.716,0.3211,,,
セプティモ,,,Unknown,2016,,pitcher,,,,,,,,4.26,6.1,1.74
セペダ,,,Unknown,2015,,hitter,,,,28,0.0,0.25,0.1806,,,
セラテリ,,,Unknown,2015,,hitter,,,,74,0.183,0.562,0.2841,,,
ソト,プエルトリコ,Puerto Rico,MLB,2018,DeNA,hitter,内野手,,,459,0.31,1.008,0.4367,,,
ソラーテ,,,Unknown,2019,阪神,hitter,,,,80,0.188,0.681,0.3032,,,
ソリス,,,Unknown,2019,DeNA,pitcher,,,,,,,,2.08,4.1,1.38
タバーレス,,,Unknown,2018,広島,pitcher,,,,,,,,,,
ターリー,アメリカ,USA,MLB,2022,広島,pitcher,投手,,,,,,,3.11,37.2,1.12
ダイクストラ,アメリカ,USA,MLB,2024,ロッテ,pitcher,投手,,,,,,,1.64,11.0,1.64
ダウンズ,コロンビア,Colombia,MLB,2024,ソフトバンク,hitter,内野手,,,26,0.273,0.794,0.3774,,,
ダフィー,,,Unknown,2017,,hitter,,,,183,0.201,0.651,0.2960,,,
ダーモディ,,,Unknown,2021,西武,pitcher,,,,,,,,5.13,33.1,1.77
チェイビス,,,Unknown,2025,中日,hitter,,,,120,0.171,0.619,0.2894,,,
チェン・ウェイン,,,Unknown,2020,ロッテ,pitcher,,,,,,,,2.42,26.0,1.00
チェン・グァンユウ,,,Unknown,2015,ロッテ,pitcher,,,,,,,,3.23,61.1,1.37
ティノコ,,,Unknown,2023,西武,pitcher,,,,,,,,2.83,35.0,1.51
テームズ,,,Unknown,2021,巨人,hitter,,,,2,0.0,0.0,,,,
ディアス,ベネズエラ,Venezuela,MLB,2020,DeNA,hitter,投手,,,,,,,,,
ディカーソン,アメリカ,USA,MLB,2024,中日,hitter,外野手,,,102,0.205,0.666,0.3177,,,
ディクソン,,,Unknown,2015,オリックス,pitcher,,,,,,,,2.48,130.2,1.25
ディプラン,,,Unknown,2020,巨人,pitcher,,,,,,,,19.29,2.1,3.86
デイビーズ,,,Unknown,2016,,pitcher,,,,,,,,4.39,82.0,1.4
デスパイネ,,,Unknown,2015,ソフトバンク,hitter,,,,409,0.258,0.814,0.3731,,,
デニング,,,Unknown,2015,,hitter,,,,227,0.222,0.671,0.3184,,,
デビッドソン,,,Unknown,2023,広島,hitter,,,,381,0.21,0.698,0.3165,,,
