english_name,npb_name,origin_league,season,PA,AVG,OBP,SLG,OPS,wOBA,HR,IP,ERA,FIP,K_pct,BB_pct,WHIP
Esmerling Vasquez,バスケス,CPBL,2012,,,,,,,,31.2,5.68,4.93,9.9,13.5,1.61
Manny Bañuelos,バニュエロス,MLB,2022,,,,,,,,41.0,4.39,3.45,24.0,12.0,1.29
Raul Valdes,バルデス,AAA,2013,,,,,,,,35.0,7.46,4.39,24.3,5.3,1.43
Alberto Baldonado,バルドナード,AAA,2021,,,,,,,,10.2,8.44,6.55,24.5,14.3,1.59
Breyvic Valera,バレラ,MLB,2021,97,0.253,0.313,0.356,0.669,0.293,1,,,,,,
Anthony Bass,バース,MLB,2015,,,,,,,,64.0,4.50,3.73,16.5,7.4,1.34
Kyle Bird,バード,MLB,2019,,,,,,,,12.2,7.82,10.79,15.4,23.1,2.05
Drew VerHagen,バーヘイゲン,MLB,2019,,,,,,,,58.0,5.90,4.87,19.8,8.9,1.60
Johnny Barbato,バーベイト,MLB,2017,,,,,,,,28.2,4.08,5.46,17.7,13.8,1.50
Spencer Patton,パットン,MLB,2016,,,,,,,,21.1,5.48,5.02,21.8,13.9,1.59
Jimmy Paredes,パラデス,MLB,2016,167,0.222,0.253,0.367,0.620,0.266,5,,,,,,
Gerardo Parra,パーラ,MLB,2019,301,0.234,0.293,0.391,0.684,0.288,9,,,,,,
Thyago Vieira,ビエイラ,MLB,2018,,,,,,,,17.2,7.13,6.44,17.6,10.6,1.70
Dayan Viciedo,ビシエド,MLB,2014,563,0.231,0.281,0.405,0.686,0.301,21,,,,,,
Jesse Biddle,ビドル,MLB,2021,,,,,,,,10.2,8.44,5.14,21.6,15.7,1.69
Christian Villanueva,ビヤヌエバ,MLB,2018,384,0.236,0.299,0.450,0.750,0.323,20,,,,,,
Duane Below,ビロウ,MLB,2012,,,,,,,,46.1,3.88,4.11,15.3,4.2,1.23
Jeremy Beasley,ビーズリー,MLB,2022,,,,,,,,15.0,4.80,5.45,29.7,7.8,1.27
Tyler Beede,ビーディ,MLB,2022,,,,,,,,61.1,5.14,4.99,13.7,10.2,1.63
Jose Pirela,ピレラ,MLB,2018,473,0.249,0.300,0.345,0.645,0.283,5,,,,,,
Dillon Peters,ピーターズ,MLB,2022,,,,,,,,39.1,4.58,4.74,15.8,10.3,1.32
Mike Ford,フォード,MLB,2023,251,0.228,0.323,0.475,0.798,0.343,16,,,,,,
Maikel Franco,フランコ,MLB,2022,388,0.229,0.255,0.342,0.597,0.261,9,,,,,,
Juan Francisco,フランシスコ,MLB,2014,320,0.220,0.291,0.456,0.747,0.327,16,,,,,,
David Buchanan,ブキャナン,MLB,2015,,,,,,,,74.2,6.99,5.33,12.5,8.3,1.85
Alan Busenitz,ブセニッツ,MLB,2018,,,,,,,,25.1,7.82,7.11,20.6,11.1,2.01
Jabari Blash,ブラッシュ,MLB,2018,45,0.103,0.200,0.128,0.328,0.163,0,,,,,,
Lewis Brinson,ブリンソン,MLB,2022,39,0.167,0.211,0.472,0.683,0.289,3,,,,,,
Colten Brewer,ブルワー,MLB,2020,,,,,,,,25.2,5.61,6.04,20.5,11.5,1.75
Mike Brosseau,ブロッソー,MLB,2022,160,0.255,0.344,0.418,0.762,0.338,6,,,,,,
Mike Broadway,ブロードウェイ,MLB,2015,,,,,,,,17.1,5.19,3.77,16.9,9.1,1.56
Gonzalez Germen,ヘルメン,MLB,2016,,,,,,,,40.2,5.31,5.09,17.6,13.7,1.62
Carlos Peguero,ペゲーロ,MLB,2015,90,0.187,0.311,0.400,0.711,0.314,4,,,,,,
Luis Perdomo,ペルドモ,MLB,2022,,,,,,,,23.2,3.80,4.80,12.5,3.1,1.14
Luke Voit,ボイト,Independent,2023,74,0.221,0.284,0.265,0.548,0.251,0,,,,,,
Brian Bogusevic,ボグセビック,MLB,2015,61,0.259,0.295,0.414,0.709,0.308,2,,,,,,
