player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
バルデス,22,45,45,2,6,2,0,0,8,2,0,0,0,0,0,0,0,13,1,0.133,0.178,0.133,中日,2015
濱田 達郎,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,中日,2015
平田 良介,130,559,491,76,139,27,3,13,211,53,11,7,1,0,64,1,3,86,5,0.283,0.43,0.369,中日,2015
福田 永将,79,185,169,12,41,6,2,6,69,23,0,0,0,2,14,0,0,62,7,0.243,0.408,0.297,中日,2015
福谷 浩司,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015
藤井 淳志,118,315,275,28,81,9,3,6,114,45,3,0,11,4,23,1,2,69,4,0.295,0.415,0.349,中日,2015
松井 雅人,51,146,133,4,18,4,0,0,22,7,2,1,6,0,5,0,2,43,3,0.135,0.165,0.179,中日,2015
松井 佑介,30,32,31,0,6,0,0,0,6,0,0,0,1,0,0,0,0,6,0,0.194,0.194,0.194,中日,2015
武藤 祐太,8,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,中日,2015
森野 将彦,82,252,206,25,54,8,0,0,62,10,2,0,3,3,37,1,3,38,0,0.262,0.301,0.378,中日,2015
八木 智哉,14,17,16,1,2,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0.125,0.125,0.176,中日,2015
山井 大介,33,38,33,1,4,0,0,0,4,2,0,0,4,0,1,0,0,15,0,0.121,0.121,0.147,中日,2015
雄太,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,中日,2015
吉見 一起,8,17,15,0,2,0,0,0,2,0,0,0,1,0,1,0,0,6,0,0.133,0.133,0.188,中日,2015
ルナ,134,564,496,61,145,26,1,8,197,60,11,0,0,6,57,2,5,77,13,0.292,0.397,0.367,中日,2015
若松 駿太,23,47,41,0,3,0,0,0,3,1,0,0,4,0,2,0,0,24,0,0.073,0.073,0.116,中日,2015
和田 一浩,79,234,218,16,65,8,0,5,88,26,1,0,0,0,14,0,2,40,9,0.298,0.404,0.346,中日,2015
赤堀 大智,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015
安部 建輝,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015
荒波 翔,70,207,188,29,56,15,2,4,87,14,4,3,1,1,16,0,1,26,2,0.298,0.463,0.354,DeNA,2015
石川 雄洋,89,375,343,43,89,8,1,1,102,18,6,3,9,0,16,1,7,82,2,0.259,0.297,0.306,DeNA,2015
石田 健大,12,24,22,0,1,0,0,0,1,0,0,0,2,0,0,0,0,8,1,0.045,0.045,0.045,DeNA,2015
井手 正太郎,40,102,98,8,25,7,0,4,44,13,0,0,0,1,3,0,0,28,0,0.255,0.449,0.275,DeNA,2015
井納 翔一,21,42,40,1,4,0,0,0,4,1,0,0,2,0,0,0,0,18,0,0.1,0.1,0.1,DeNA,2015
内村 賢介,28,46,39,8,7,0,0,0,7,1,2,1,5,0,2,0,0,9,0,0.179,0.179,0.22,DeNA,2015
エレラ,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015
乙坂 智,52,138,124,11,28,1,2,3,42,10,2,3,4,1,9,0,0,25,0,0.226,0.339,0.276,DeNA,2015
加賀 繁,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,DeNA,2015
梶谷 隆幸,134,578,520,70,143,35,2,13,221,66,28,13,2,2,54,0,0,132,4,0.275,0.425,0.342,DeNA,2015
国吉 佑樹,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015
久保 康友,21,34,28,1,2,0,0,0,2,0,0,0,5,0,1,0,0,17,0,0.071,0.071,0.103,DeNA,2015
