player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
駒月 仁人,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143,西武,2019
斉藤 彰吾,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,西武,2019
佐藤 龍世,52,63,59,6,13,6,0,2,25,7,0,0,1,0,3,0,0,14,1,0.22,0.424,0.258,西武,2019
鈴木 将平,16,28,26,4,4,0,0,0,4,1,1,1,1,0,1,0,0,6,1,0.154,0.154,0.185,西武,2019
高木 渉,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,西武,2019
髙橋 光成,21,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,西武,2019
十亀 剣,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,西武,2019
戸川 大輔,10,25,23,3,4,1,0,1,8,1,0,1,0,0,2,0,0,4,0,0.174,0.348,0.24,西武,2019
外崎 修汰,143,621,533,96,146,27,6,26,263,90,22,6,14,6,63,0,5,132,9,0.274,0.493,0.353,西武,2019
永江 恭平,27,26,21,4,2,1,0,0,3,1,1,1,1,0,4,0,0,12,0,0.095,0.143,0.24,西武,2019
中田 祥多,2,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0.125,0.125,0.125,西武,2019
中村 剛也,135,557,496,69,142,30,0,30,262,123,2,1,0,3,54,5,4,123,12,0.286,0.528,0.359,西武,2019
ニール,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,西武,2019
平井 克典,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,西武,2019
本田 圭佑,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,西武,2019
松本 航,16,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.0,0.0,0.0,西武,2019
水口 大地,20,11,10,5,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0.0,0.0,0.091,西武,2019
メヒア,75,147,128,13,27,9,0,6,54,31,0,0,0,4,15,0,0,46,2,0.211,0.422,0.286,西武,2019
森 友哉,135,573,492,96,162,34,2,23,269,105,3,2,1,6,72,3,2,89,9,0.329,0.547,0.413,西武,2019
森脇 亮介,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,西武,2019
山川 穂高,143,626,524,93,134,20,0,43,283,120,1,0,0,3,86,8,13,142,13,0.256,0.54,0.372,西武,2019
山田 遥楓,4,13,12,2,2,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0.167,0.167,0.231,西武,2019
山野辺 翔,9,18,14,1,1,1,0,0,2,1,1,0,0,0,2,0,2,4,1,0.071,0.143,0.278,西武,2019
石川 歩,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ロッテ,2019
井上 晴哉,129,509,429,60,108,16,1,24,198,65,0,0,0,3,67,1,9,98,10,0.252,0.462,0.362,ロッテ,2019
岩下 大輝,21,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,ロッテ,2019
江村 直也,23,35,31,3,3,0,0,1,6,4,0,0,2,0,2,0,0,10,2,0.097,0.194,0.152,ロッテ,2019
岡 大海,95,182,154,36,35,8,1,6,63,16,13,1,3,1,18,1,6,32,5,0.227,0.409,0.33,ロッテ,2019
荻野 貴司,125,569,508,76,160,35,7,10,239,46,28,10,9,4,40,1,8,56,4,0.315,0.47,0.371,ロッテ,2019
柿沼 友哉,34,73,54,5,9,0,0,1,12,2,0,0,10,0,4,0,5,20,0,0.167,0.222,0.286,ロッテ,2019
角中 勝也,108,435,368,47,95,17,1,8,138,48,2,2,3,4,55,2,5,63,10,0.258,0.375,0.359,ロッテ,2019
香月 一也,26,33,33,3,5,0,0,1,8,3,0,0,0,0,0,0,0,9,0,0.152,0.242,0.152,ロッテ,2019
加藤 翔平,60,120,109,12,22,3,1,4,39,9,4,2,2,0,7,0,2,32,2,0.202,0.358,0.263,ロッテ,2019
清田 育宏,117,377,336,49,85,8,2,10,127,57,1,3,2,2,35,1,2,77,6,0.253,0.378,0.325,ロッテ,2019
菅野 剛士,28,73,66,7,13,2,0,3,24,7,0,0,0,0,6,0,1,11,0,0.197,0.364,0.274,ロッテ,2019
鈴木 大地,140,614,527,76,152,34,4,15,239,68,3,1,13,2,56,0,16,75,11,0.288,0.454,0.373,ロッテ,2019
髙濱 卓也,8,7,7,0,2,2,0,0,4,3,0,0,0,0,0,0,0,3,0,0.286,0.571,0.286,ロッテ,2019
種市 篤暉,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ロッテ,2019
田村 龍弘,100,321,284,30,69,12,1,3,92,31,1,2,12,3,22,0,0,59,8,0.243,0.324,0.294,ロッテ,2019
土肥 星也,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,ロッテ,2019
中村 奨吾,143,586,512,68,119,22,0,17,192,59,12,6,6,3,53,2,12,96,10,0.232,0.375,0.317,ロッテ,2019
バルガス,35,102,84,4,15,5,0,1,23,6,0,0,0,0,16,1,2,36,2,0.179,0.274,0.324,ロッテ,2019
平沢 大河,51,108,91,10,18,3,1,1,26,8,0,2,5,0,12,0,0,28,0,0.198,0.286,0.291,ロッテ,2019
福浦 和也,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ロッテ,2019
藤岡 裕大,81,278,250,36,66,14,1,2,88,21,3,1,10,2,16,0,0,33,4,0.264,0.352,0.306,ロッテ,2019
藤原 恭大,6,19,19,0,2,0,0,0,2,2,0,0,0,0,0,0,0,6,0,0.105,0.105,0.105,ロッテ,2019
二木 康太,22,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.0,0.0,0.167,ロッテ,2019
ボルシンガー,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ロッテ,2019
細川 亨,31,8,6,0,2,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0.333,0.333,0.333,ロッテ,2019
細谷 圭,29,20,19,3,3,1,0,0,4,1,0,0,0,0,1,0,0,7,0,0.158,0.211,0.2,ロッテ,2019
マーティン,52,228,194,32,45,9,0,14,96,39,3,3,0,1,26,1,7,57,4,0.232,0.495,0.342,ロッテ,2019
松田 進,3,6,5,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0.2,0.2,0.333,ロッテ,2019
三木 亮,89,145,126,20,27,3,0,2,36,15,5,0,8,1,6,0,4,38,1,0.214,0.286,0.27,ロッテ,2019
三家 和真,25,22,21,3,6,1,1,1,12,5,0,0,0,0,1,0,0,8,0,0.286,0.571,0.318,ロッテ,2019
吉田 裕太,32,56,47,2,11,1,0,2,18,7,0,1,4,0,5,0,0,13,2,0.234,0.383,0.308,ロッテ,2019
李 杜軒,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ロッテ,2019
レアード,139,553,487,59,121,18,0,32,235,89,0,0,0,3,55,2,8,128,18,0.248,0.483,0.333,ロッテ,2019
涌井 秀章,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,ロッテ,2019
會澤 翼,79,263,229,25,61,13,0,7,95,36,2,0,1,0,22,2,11,51,8,0.266,0.415,0.359,広島,2020
安部 友裕,26,44,38,6,7,3,0,0,10,2,0,1,2,0,4,0,0,17,1,0.184,0.263,0.262,広島,2020
石原 慶幸,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2020
磯村 嘉孝,31,55,48,4,10,3,0,1,16,1,0,0,3,0,4,0,0,8,2,0.208,0.333,0.269,広島,2020
上本 崇司,56,62,52,8,11,2,0,0,13,4,2,0,3,0,5,0,2,4,3,0.212,0.25,0.305,広島,2020
宇草 孔基,13,47,43,5,11,1,1,0,14,3,3,2,0,0,3,0,1,7,0,0.256,0.326,0.319,広島,2020
遠藤 淳志,19,36,32,1,6,0,0,0,6,2,0,0,3,0,1,0,0,12,1,0.188,0.188,0.212,広島,2020
大瀬良 大地,11,24,19,4,5,0,0,1,8,4,0,0,4,0,1,0,0,6,0,0.263,0.421,0.3,広島,2020
大盛 穂,73,148,135,21,35,5,3,2,52,16,5,3,0,1,11,1,1,50,1,0.259,0.385,0.318,広島,2020
菊池 涼介,106,429,376,43,102,19,4,10,159,41,3,2,16,1,35,2,1,68,9,0.271,0.423,0.334,広島,2020
九里 亜蓮,20,42,33,0,2,0,0,0,2,1,0,0,8,0,1,0,0,24,0,0.061,0.061,0.088,広島,2020
桒原 樹,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,広島,2020
ケムナ 誠,41,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.0,0.333,広島,2020
小窪 哲也,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333,0.333,0.333,広島,2020
小園 海斗,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2020
坂倉 将吾,81,228,209,24,60,15,1,3,86,26,1,1,0,0,17,1,2,36,6,0.287,0.411,0.346,広島,2020
Ｋ．ジョンソン,10,15,14,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0.071,0.071,0.071,広島,2020
正隨 優弥,7,8,7,1,1,0,0,1,4,1,0,0,0,0,1,0,0,1,1,0.143,0.571,0.25,広島,2020
白濱 裕太,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,広島,2020
スコット,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,広島,2020
鈴木 誠也,118,514,430,85,129,26,2,25,234,75,6,4,0,3,72,9,9,73,15,0.3,0.544,0.409,広島,2020
曽根 海成,33,17,16,13,4,1,0,0,5,1,5,3,0,0,1,0,0,5,0,0.25,0.313,0.294,広島,2020
髙橋 大樹,14,16,15,1,3,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0.2,0.2,0.25,広島,2020
田中 広輔,112,454,378,51,95,11,5,8,140,39,8,4,12,4,55,3,5,86,1,0.251,0.37,0.351,広島,2020
長野 久義,95,299,267,30,76,17,1,10,125,42,1,0,0,2,29,0,1,61,5,0.285,0.468,0.355,広島,2020
堂林 翔太,111,451,401,55,112,21,0,14,175,58,17,4,3,2,41,2,4,91,12,0.279,0.436,0.35,広島,2020
床田 寛樹,15,30,27,2,5,1,0,0,6,1,0,0,3,0,0,0,0,6,0,0.185,0.222,0.185,広島,2020
中村 奨成,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2020
中村 祐太,8,14,13,1,1,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0.077,0.077,0.077,広島,2020
西川 龍馬,76,328,296,36,90,18,0,6,126,32,6,1,2,0,28,1,2,52,6,0.304,0.426,0.368,広島,2020
野間 峻祥,70,56,50,10,12,0,0,0,12,1,2,3,2,0,4,0,0,17,0,0.24,0.24,0.296,広島,2020
野村 祐輔,13,25,20,1,2,0,0,0,2,0,0,0,2,0,3,0,0,11,0,0.1,0.1,0.217,広島,2020
羽月 隆太郎,17,40,33,3,6,1,1,0,9,4,0,2,5,0,2,0,0,7,0,0.182,0.273,0.229,広島,2020
林 晃汰,4,8,8,1,1,1,0,0,2,0,0,0,0,0,0,0,0,5,1,0.125,0.25,0.125,広島,2020
ピレラ,99,337,316,47,84,9,2,11,130,34,2,3,0,0,19,2,2,53,4,0.266,0.411,0.312,広島,2020
塹江 敦哉,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2020
松山 竜平,108,425,404,38,112,27,1,9,168,67,0,1,0,3,17,4,1,72,11,0.277,0.416,0.306,広島,2020
三好 匠,62,29,24,3,3,0,0,0,3,2,0,0,2,1,2,0,0,5,0,0.125,0.125,0.185,広島,2020
メヒア,37,85,80,4,15,2,0,2,23,4,1,0,0,0,5,0,0,21,3,0.188,0.288,0.235,広島,2020
森下 暢仁,18,46,39,0,6,2,0,0,8,3,0,0,6,0,0,0,1,16,0,0.154,0.205,0.175,広島,2020
薮田 和樹,28,7,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0.0,0.0,0.167,広島,2020
アルモンテ,62,247,214,32,63,9,0,9,99,29,1,0,0,1,30,2,2,42,9,0.294,0.463,0.385,中日,2020
阿部 寿樹,115,459,421,44,108,25,0,13,172,61,2,4,5,2,30,0,1,92,21,0.257,0.409,0.306,中日,2020
石垣 雅海,25,34,33,5,4,0,0,1,7,1,0,0,0,0,1,0,0,12,0,0.121,0.212,0.147,中日,2020
石川 駿,11,13,10,0,3,0,1,0,5,2,0,0,0,0,1,0,2,3,0,0.3,0.5,0.462,中日,2020
石川 昂弥,14,41,36,3,8,2,0,0,10,1,0,0,1,0,3,0,1,12,1,0.222,0.278,0.3,中日,2020
井領 雅貴,79,155,135,9,27,3,0,0,30,12,0,0,2,0,18,0,0,24,4,0.2,0.222,0.294,中日,2020
梅津 晃大,7,15,12,2,4,1,0,0,5,0,0,0,1,0,2,0,0,4,0,0.333,0.417,0.429,中日,2020
遠藤 一星,65,87,73,16,16,1,0,0,17,4,0,1,4,1,6,0,3,12,1,0.219,0.233,0.301,中日,2020
大島 洋平,118,525,462,58,146,21,3,1,176,30,16,8,9,3,47,3,4,51,5,0.316,0.381,0.382,中日,2020
大野 雄大,20,53,48,2,5,0,1,0,7,4,0,0,3,0,2,0,0,28,0,0.104,0.146,0.14,中日,2020
小笠原 慎之介,4,7,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0.167,0.167,0.167,中日,2020
岡野 祐一郎,11,12,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0.0,0.0,0.0,中日,2020
岡林 勇希,6,7,7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0.286,0.286,0.286,中日,2020
勝野 昌慶,13,25,22,0,2,0,1,0,4,2,0,0,1,0,2,0,0,16,0,0.091,0.182,0.167,中日,2020
桂 依央利,2,9,9,1,2,1,0,0,3,2,0,0,0,0,0,0,0,3,0,0.222,0.333,0.222,中日,2020
加藤 匠馬,29,43,37,0,5,1,0,0,6,1,0,0,5,0,1,1,0,8,1,0.135,0.162,0.158,中日,2020
木下 拓哉,88,269,251,19,67,14,1,6,101,32,0,0,5,0,12,2,1,49,1,0.267,0.402,0.303,中日,2020
京田 陽太,120,491,442,43,109,16,7,5,154,29,8,4,15,1,27,4,6,80,4,0.247,0.348,0.298,中日,2020
郡司 裕也,30,76,64,6,10,3,0,0,13,4,0,0,1,1,9,1,1,19,1,0.156,0.203,0.267,中日,2020
シエラ,25,94,80,9,18,2,0,1,23,7,1,0,0,1,10,0,3,25,6,0.225,0.288,0.33,中日,2020
清水 達也,6,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,中日,2020
高橋 周平,108,438,394,46,120,25,1,7,168,46,1,1,0,3,39,6,2,70,13,0.305,0.426,0.368,中日,2020
滝野 要,10,8,7,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0.286,0.286,0.375,中日,2020
武田 健吾,84,64,55,9,10,2,0,0,12,2,1,0,3,1,5,0,0,13,2,0.182,0.218,0.246,中日,2020
堂上 直倫,43,55,50,2,10,2,0,0,12,4,0,1,0,1,4,0,0,11,2,0.2,0.24,0.255,中日,2020
根尾 昂,9,25,23,3,2,0,0,0,2,0,0,0,0,0,2,0,0,7,0,0.087,0.087,0.16,中日,2020
ビシエド,109,462,409,48,109,23,0,17,183,82,3,2,0,10,34,3,9,48,17,0.267,0.447,0.329,中日,2020
平田 良介,55,193,166,26,39,7,0,3,55,17,0,1,0,1,24,2,2,33,4,0.235,0.331,0.337,中日,2020
福田 永将,64,216,195,18,48,11,1,5,76,24,0,0,0,1,18,0,2,43,7,0.246,0.39,0.315,中日,2020
福谷 浩司,14,36,29,2,6,1,0,0,7,2,0,0,7,0,0,0,0,10,0,0.207,0.241,0.207,中日,2020
Ａ．マルティネス,39,109,95,8,28,6,0,2,40,13,0,0,0,0,14,0,0,31,1,0.295,0.421,0.385,中日,2020
松葉 貴大,15,25,23,0,3,0,0,0,3,0,0,0,2,0,0,0,0,10,1,0.13,0.13,0.13,中日,2020
溝脇 隼人,39,50,47,6,10,1,2,0,15,3,0,0,1,0,2,0,0,8,0,0.213,0.319,0.245,中日,2020
三ツ間 卓也,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,中日,2020
三ツ俣 大樹,8,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.167,0.167,0.167,中日,2020
柳 裕也,15,32,28,0,2,1,0,0,3,1,0,0,3,0,1,0,0,13,0,0.071,0.107,0.103,中日,2020
山本 拓実,9,7,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0.167,0.167,0.167,中日,2020
吉見 一起,5,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,中日,2020
ロドリゲス,11,20,20,1,3,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0.15,0.15,0.15,中日,2020
渡辺 勝,19,16,15,6,3,0,0,0,3,0,0,0,0,0,1,0,0,6,0,0.2,0.2,0.25,中日,2020
伊勢 大夢,33,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.0,0.333,DeNA,2020
伊藤 光,30,63,51,5,11,3,1,0,16,6,0,0,1,0,10,1,1,15,2,0.216,0.314,0.355,DeNA,2020
伊藤 裕季也,5,17,14,1,4,0,1,0,6,1,0,0,1,0,2,1,0,2,0,0.286,0.429,0.375,DeNA,2020
井納 翔一,17,31,30,0,4,1,0,0,5,3,0,0,1,0,0,0,0,13,0,0.133,0.167,0.133,DeNA,2020
今永 昇太,9,19,18,0,2,0,0,0,2,0,0,0,0,0,1,0,0,8,1,0.111,0.111,0.158,DeNA,2020
エスコバー,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2020
蝦名 達夫,17,24,21,3,3,1,0,1,7,1,0,0,0,0,2,0,1,8,1,0.143,0.333,0.25,DeNA,2020
オースティン,65,269,238,36,68,14,1,20,144,56,0,0,0,1,29,1,1,69,4,0.286,0.605,0.364,DeNA,2020
大貫 晋一,19,44,37,3,4,1,0,0,5,1,0,0,5,1,1,0,0,19,1,0.108,0.135,0.128,DeNA,2020
乙坂 智,85,115,101,17,21,3,0,1,27,7,5,0,1,1,12,0,0,28,2,0.208,0.267,0.289,DeNA,2020
梶谷 隆幸,109,482,433,88,140,29,1,19,228,53,14,8,1,2,45,3,1,85,4,0.323,0.527,0.387,DeNA,2020
神里 和毅,80,190,169,38,52,8,1,3,71,17,7,1,1,2,15,0,3,42,3,0.308,0.42,0.37,DeNA,2020
上茶谷 大河,11,22,19,1,3,0,0,0,3,0,0,0,2,0,1,0,0,10,1,0.158,0.158,0.2,DeNA,2020
京山 将弥,6,10,5,1,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0.0,0.0,0.286,DeNA,2020
楠本 泰史,28,29,26,6,4,2,0,1,9,1,0,0,0,0,2,0,1,7,0,0.154,0.346,0.241,DeNA,2020
国吉 佑樹,42,4,4,1,2,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0.5,0.75,0.5,DeNA,2020
倉本 寿彦,82,216,199,19,55,4,0,1,62,17,0,0,0,0,16,2,1,42,2,0.276,0.312,0.333,DeNA,2020
桑原 将志,34,42,36,8,5,0,0,1,8,2,0,0,1,1,3,0,1,11,2,0.139,0.222,0.22,DeNA,2020
阪口 皓亮,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,DeNA,2020
坂本 裕哉,10,17,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0.063,0.063,0.063,DeNA,2020
櫻井 周斗,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,DeNA,2020
佐野 恵太,106,451,402,48,132,20,1,20,214,69,0,0,0,3,42,1,4,58,13,0.328,0.532,0.395,DeNA,2020
柴田 竜拓,110,276,233,33,62,14,0,2,82,20,0,0,9,1,29,3,4,50,1,0.266,0.352,0.356,DeNA,2020
進藤 拓也,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2020
砂田 毅樹,17,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,DeNA,2020
ソト,114,480,428,59,108,18,0,25,201,78,0,0,0,5,44,0,3,103,12,0.252,0.47,0.323,DeNA,2020
平良 拳太郎,14,31,26,1,2,0,0,0,2,0,0,0,5,0,0,0,0,17,0,0.077,0.077,0.077,DeNA,2020
髙城 俊人,23,46,42,4,8,0,0,3,17,5,0,0,1,0,2,0,1,22,1,0.19,0.405,0.244,DeNA,2020
戸柱 恭孝,96,276,259,21,55,8,1,5,80,23,0,2,5,1,11,0,0,53,8,0.212,0.309,0.244,DeNA,2020
中井 大介,69,105,100,12,25,3,1,2,36,4,1,0,1,0,3,0,1,23,1,0.25,0.36,0.279,DeNA,2020
中川 虎大,3,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0.5,DeNA,2020
パットン,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DeNA,2020
濵口 遥大,16,31,26,0,2,0,0,0,2,0,0,0,4,0,1,0,0,15,0,0.077,0.077,0.111,DeNA,2020
ピープルズ,10,13,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0.083,0.083,0.083,DeNA,2020
平田 真吾,43,5,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0.0,0.0,0.0,DeNA,2020
細川 成也,19,54,51,6,12,2,0,1,17,1,1,0,0,0,2,0,1,20,1,0.235,0.333,0.278,DeNA,2020
嶺井 博希,41,60,55,2,18,3,0,0,21,8,0,0,0,0,4,0,1,14,1,0.327,0.382,0.383,DeNA,2020
宮﨑 敏郎,113,460,429,47,129,26,1,14,199,53,0,0,0,3,24,2,4,29,15,0.301,0.464,0.341,DeNA,2020
宮本 秀明,6,5,5,1,2,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0.4,0.4,0.4,DeNA,2020
武藤 祐太,22,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,DeNA,2020
百瀬 大騎,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25,DeNA,2020
森 敬斗,8,12,12,3,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0.25,0.333,0.25,DeNA,2020
山下 幸輝,39,46,43,2,9,2,0,0,11,1,0,0,0,0,3,0,0,7,1,0.209,0.256,0.261,DeNA,2020
大和,85,225,199,23,56,7,1,4,77,23,3,3,3,3,20,0,0,28,8,0.281,0.387,0.342,DeNA,2020
山本 祐大,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2020
ロペス,81,305,293,26,72,8,0,12,116,42,0,0,0,2,10,1,0,36,8,0.246,0.396,0.269,DeNA,2020
石川 慎吾,43,47,45,2,11,1,0,2,18,7,0,0,0,0,2,0,0,12,1,0.244,0.4,0.277,巨人,2020
今村 信貴,12,24,20,2,1,0,0,0,1,2,0,0,3,0,1,0,0,12,0,0.05,0.05,0.095,巨人,2020
ウィーラー,98,288,263,26,65,9,0,12,110,36,3,3,0,1,22,1,2,47,6,0.247,0.418,0.309,巨人,2020
ウレーニャ,11,20,18,0,3,0,0,0,3,0,0,0,0,0,2,0,0,8,0,0.167,0.167,0.25,巨人,2020
大江 竜聖,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2020
大城 卓三,93,308,274,30,74,10,1,9,113,41,1,0,1,3,30,6,0,82,1,0.27,0.412,0.339,巨人,2020
岡本 和真,118,500,440,79,121,26,0,31,240,97,2,0,0,0,55,2,5,85,10,0.275,0.545,0.362,巨人,2020
香月 一也,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,巨人,2020
加藤 脩平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2020
亀井 善行,51,156,141,21,36,7,0,2,49,17,0,1,1,2,11,0,1,21,3,0.255,0.348,0.31,巨人,2020
岸田 行倫,34,48,43,2,13,3,0,1,19,5,0,0,1,1,3,0,0,16,4,0.302,0.442,0.34,巨人,2020
北村 拓己,57,88,75,9,17,2,0,2,25,10,0,0,2,0,10,1,1,24,2,0.227,0.333,0.326,巨人,2020
鍬原 拓也,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,巨人,2020
小林 誠司,10,21,18,1,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0.056,0.056,0.15,巨人,2020
サンチェス,15,34,29,0,1,0,0,0,1,0,0,0,5,0,0,0,0,20,0,0.034,0.034,0.034,巨人,2020
坂本 勇人,115,479,412,64,119,28,1,19,206,65,4,1,1,4,62,7,0,85,9,0.289,0.5,0.379,巨人,2020
桜井 俊貴,25,18,15,0,1,0,0,0,1,0,0,0,2,0,1,0,0,6,0,0.067,0.067,0.125,巨人,2020
澤村 拓一,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2020
重信 慎之介,60,96,90,17,23,5,1,1,33,6,5,1,0,0,6,0,0,33,1,0.256,0.367,0.302,巨人,2020
菅野 智之,20,53,44,3,4,3,0,0,7,3,0,0,8,0,1,0,0,16,0,0.091,0.159,0.111,巨人,2020
炭谷 銀仁朗,56,114,100,4,18,2,0,1,23,7,0,0,3,1,8,2,2,23,3,0.18,0.23,0.252,巨人,2020
髙橋 優貴,8,7,7,0,1,0,1,0,3,1,0,0,0,0,0,0,0,3,0,0.143,0.429,0.143,巨人,2020
田口 麗斗,26,34,28,2,6,2,0,0,8,3,0,0,3,0,3,0,0,11,0,0.214,0.286,0.29,巨人,2020
立岡 宗一郎,29,27,23,5,6,0,1,1,11,4,1,0,0,0,4,1,0,6,1,0.261,0.478,0.37,巨人,2020
田中 俊太,48,78,68,7,18,2,1,1,25,6,2,0,0,1,8,1,1,15,0,0.265,0.368,0.346,巨人,2020
田中 豊樹,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,巨人,2020
戸郷 翔征,19,37,34,1,0,0,0,0,0,0,0,0,3,0,0,0,0,21,0,0.0,0.0,0.0,巨人,2020
直江 大輔,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,巨人,2020
中島 宏之,100,312,279,19,83,13,0,7,117,29,0,3,0,1,31,0,1,59,11,0.297,0.419,0.369,巨人,2020
パーラ,47,154,146,14,39,3,1,4,56,13,0,2,0,0,8,1,0,35,6,0.267,0.384,0.305,巨人,2020
