player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
松井 雅人,51,146,133,4,18,4,0,0,22,7,2,1,6,0,5,0,2,43,3,0.135,0.165,0.179,中日,2015,0.16670944945838287,-46.37763208567547,-21.249987955036065
松井 佑介,30,32,31,0,6,0,0,0,6,0,0,0,1,0,0,0,0,6,0,0.194,0.194,0.194,中日,2015,0.17834067792534858,-35.20600868795929,-4.302066168795229
武藤 祐太,8,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-1.828572890520073
森野 将彦,82,252,206,25,54,8,0,0,62,10,2,0,3,3,37,1,3,38,0,0.262,0.301,0.378,中日,2015,0.32938738618007574,109.87212685714461,2.4736735379159587
八木 智哉,14,17,16,1,2,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0.125,0.125,0.176,中日,2015,0.15090212219730642,-61.56033678335627,-2.7309565231402075
山井 大介,33,38,33,1,4,0,0,0,4,2,0,0,4,0,1,0,0,15,0,0.121,0.121,0.147,中日,2015,0.12965263968380816,-81.97015133659818,-6.875667522313405
雄太,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-1.523810742100061
吉見 一起,8,17,15,0,2,0,0,0,2,0,0,0,1,0,1,0,0,6,0,0.133,0.133,0.188,中日,2015,0.16033350483463807,-52.50163286026884,-2.577831523140208
ルナ,134,564,496,61,145,26,1,8,197,60,11,0,0,6,57,2,5,77,13,0.292,0.397,0.367,中日,2015,0.3549104775711421,134.38667970737072,19.284148291113098
若松 駿太,23,47,41,0,3,0,0,0,3,1,0,0,4,0,2,0,0,24,0,0.073,0.073,0.116,中日,2015,0.09788942601769265,-112.47824959869044,-9.92986748736848
和田 一浩,79,234,218,16,65,8,0,5,88,26,1,0,0,0,14,0,2,40,9,0.298,0.404,0.346,中日,2015,0.34687746854438917,126.67109301313484,6.205657269717149
赤堀 大智,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-0.3047621484200122
安部 建輝,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-0.3047621484200122
荒波 翔,70,207,188,29,56,15,2,4,87,14,4,3,1,1,16,0,1,26,2,0.298,0.463,0.354,DeNA,2015,0.37232190938418047,151.11010316884997,10.51981780132934
石川 雄洋,89,375,343,43,89,8,1,1,102,18,6,3,9,0,16,1,7,82,2,0.259,0.297,0.306,DeNA,2015,0.28459867622972757,66.85323152240565,-12.359576149307866
石田 健大,12,24,22,0,1,0,0,0,1,0,0,0,2,0,0,0,0,8,1,0.045,0.045,0.045,DeNA,2015,0.04188303799761974,-166.2715592739017,-6.354291562080293
井手 正太郎,40,102,98,8,25,7,0,4,44,13,0,0,0,1,3,0,0,28,0,0.255,0.449,0.275,DeNA,2015,0.3252094715109297,105.85930143599029,0.5942608611587504
井納 翔一,21,42,40,1,4,0,0,0,4,1,0,0,2,0,0,0,0,18,0,0.1,0.1,0.1,DeNA,2015,0.09214268359476344,-117.99791093927735,-9.104010233640512
内村 賢介,28,46,39,8,7,0,0,0,7,1,2,1,5,0,2,0,0,9,0,0.179,0.179,0.22,DeNA,2015,0.19255982103783711,-21.548731441440523,-5.55954663219861
エレラ,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-0.3047621484200122
乙坂 智,52,138,124,11,28,1,2,3,42,10,2,3,4,1,9,0,0,25,0,0.226,0.339,0.276,DeNA,2015,0.2842733064092176,66.54071860856828,-4.591206332707949
加賀 繁,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,DeNA,2015,,,
梶谷 隆幸,134,578,520,70,143,35,2,13,221,66,28,13,2,2,54,0,0,132,4,0.275,0.425,0.342,DeNA,2015,0.35282460264574717,132.38322760534783,18.611401824344032
国吉 佑樹,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-0.3047621484200122
久保 康友,21,34,28,1,2,0,0,0,2,0,0,0,5,0,1,0,0,17,0,0.071,0.071,0.103,DeNA,2015,0.08845986473635203,-121.53520413621102,-7.489499253176967
倉本 寿彦,102,265,245,11,51,4,0,2,61,20,0,0,7,1,10,0,2,60,8,0.208,0.249,0.244,DeNA,2015,0.23222358858757772,16.547732303446622,-21.989488711148184
黒羽根 利規,63,149,129,8,23,3,0,1,29,7,0,1,7,2,11,0,0,32,2,0.178,0.225,0.239,DeNA,2015,0.22283545920564587,7.530572494243993,-13.699841804722665
桑原 将志,60,116,103,14,19,4,1,1,28,5,1,1,8,0,5,0,0,26,1,0.184,0.272,0.222,DeNA,2015,0.2296780486489842,14.102778735680346,-9.9075944019066
小杉 陽太,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-0.9142864452600366
後藤 武敏 Ｇ．,70,76,68,4,14,4,0,4,30,11,0,0,0,0,8,1,0,17,2,0.206,0.441,0.289,DeNA,2015,0.3345132113757261,114.79540635861495,1.1180767200790722
下園 辰哉,53,84,74,8,21,4,0,1,28,8,0,0,2,0,8,0,0,14,2,0.284,0.378,0.354,DeNA,2015,0.34195968218788314,121.94763174837261,1.833150264426292
白崎 浩之,81,238,204,25,46,9,1,6,75,9,2,4,22,0,11,0,1,45,1,0.225,0.368,0.269,DeNA,2015,0.29259955712226016,74.53795961756921,-6.025613546185125
須田 幸太,29,11,7,0,1,0,0,0,1,0,0,0,3,0,1,0,0,3,0,0.143,0.143,0.25,DeNA,2015,0.20548865517582185,-9.130776934629788,-1.1936336326201342
砂田 毅樹,14,24,22,0,2,0,0,0,2,2,0,0,2,0,0,0,0,13,0,0.091,0.091,0.091,DeNA,2015,0.08376607599523948,-126.04351899504805,-5.3942915620802925
関根 大気,55,159,144,14,32,2,5,1,47,10,8,3,6,1,8,0,0,22,1,0.222,0.326,0.261,DeNA,2015,0.26950229352063165,52.353378581436736,-7.532867873291738
高崎 健太郎,7,10,8,0,2,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0.25,0.25,0.333,DeNA,2015,0.2850373419282455,67.27456345610953,-0.3253992619778997
高城 俊人,64,148,129,9,26,7,0,1,36,9,0,0,7,0,8,0,4,32,6,0.202,0.279,0.27,DeNA,2015,0.26162046607378436,44.78299956497748,-8.125790873963217
高橋 尚成,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,DeNA,2015,0.7224824054589405,487.4340952574694,0.38523785157998774
多村 仁志,4,8,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.143,0.143,0.25,DeNA,2015,0.20548865517582185,-9.130776934629788,-0.8680971873600977
筒香 嘉智,138,568,496,79,157,28,1,24,259,93,0,0,0,2,68,0,2,98,5,0.317,0.522,0.4,DeNA,2015,0.4193096753053955,196.2411593305211,54.35509969743303
バルディリス,139,525,465,38,120,23,0,13,182,56,0,0,0,5,43,2,12,62,12,0.258,0.391,0.333,DeNA,2015,0.33654018246277884,116.74228219266173,8.7398720794936
飛雄馬,59,135,116,14,26,9,1,1,40,9,1,0,15,0,3,0,1,23,2,0.224,0.345,0.25,DeNA,2015,0.27171620900955806,54.47981175630746,-6.110390036701649
平田 真吾,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-0.3047621484200122
松本 啓二朗,51,85,73,10,20,5,0,1,28,7,0,1,3,2,7,0,0,19,2,0.274,0.384,0.329,DeNA,2015,0.3268920038838614,107.47534896512651,0.6318027501526221
三浦 大輔,17,31,28,0,4,1,0,0,5,0,0,0,3,0,0,0,0,7,0,0.143,0.179,0.143,DeNA,2015,0.14621667729526178,-66.06063750782884,-5.1186980295918065
三島 一輝,20,30,25,1,3,0,0,0,3,0,0,0,5,0,0,0,0,10,0,0.12,0.12,0.12,DeNA,2015,0.11057122031371612,-100.29757321658172,-5.974864452600365
嶺井 博希,74,208,186,18,44,8,1,5,69,26,0,0,3,2,12,0,5,46,2,0.237,0.371,0.298,DeNA,2015,0.30932155867510386,90.59919548229036,-1.9442829689235128
宮崎 敏郎,58,163,152,13,44,8,0,1,55,10,0,0,0,1,6,0,4,21,5,0.289,0.362,0.331,DeNA,2015,0.32170284400625715,102.49123743573986,0.40376980753800884
モスコーソ,15,15,13,0,3,0,0,0,3,1,0,0,2,0,0,0,0,6,0,0.231,0.231,0.231,DeNA,2015,0.21263696214176178,-2.2649335216523547,-1.5252783801463368
柳田 殖生,24,49,43,1,9,2,0,0,11,5,0,0,3,0,1,0,2,11,2,0.209,0.256,0.261,DeNA,2015,0.24651809864903357,30.277398392888472,-3.397040924754512
山口 俊,20,33,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,1,0.0,0.0,0.0,DeNA,2015,0.0,-206.49959955275526,-10.057150897860403
山崎 憲晴,25,34,29,4,3,1,0,0,4,2,2,0,2,0,3,0,0,12,0,0.103,0.138,0.188,DeNA,2015,0.16687772952176613,-46.21600156669798,-4.943163046280416
山下 幸輝,23,43,42,2,10,2,0,0,12,2,0,1,1,0,0,0,0,12,0,0.238,0.286,0.238,DeNA,2015,0.23883303810547446,22.89601108499323,-3.2966771439652875
ロペス,140,565,516,63,150,29,1,25,256,73,1,1,0,3,44,3,2,82,14,0.291,0.496,0.347,DeNA,2015,0.3824143756995059,160.80376821456514,34.15938614269311
アンダーソン,83,260,234,20,59,14,0,7,94,31,1,1,0,0,21,1,5,37,5,0.252,0.402,0.327,巨人,2015,0.33832634828654173,118.45786812286883,4.771841410796815
相川 亮二,40,114,99,11,31,3,2,4,50,17,1,0,2,1,12,0,0,16,1,0.313,0.505,0.384,巨人,2015,0.40284377395478455,180.4259039329148,9.116579365832896
阿部 慎之助,111,419,343,44,83,14,0,15,142,47,0,0,0,4,64,1,8,84,9,0.242,0.414,0.37,巨人,2015,0.36665151163548737,145.66376976188673,19.024659812014878
井端 弘和,98,321,269,20,63,9,0,1,75,19,3,3,10,2,37,0,3,36,4,0.234,0.279,0.331,巨人,2015,0.2958073728674333,77.61901932988759,-7.143569256971833
隠善 智也,3,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,巨人,2015,0.9214268359476343,678.5172865820241,1.1504757031599757
内海 哲也,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,巨人,2015,0.0,-206.49959955275526,-2.4380971873600976
大田 泰示,60,138,130,13,36,7,0,1,46,3,3,2,0,0,7,0,1,39,0,0.277,0.354,0.319,巨人,2015,0.3124535334677502,93.60741107825766,-0.8771764819616843
大竹 寛,11,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0.0,0.0,0.0,巨人,2015,0.0,-206.49959955275526,-4.876194374720195
岡本 和真,17,31,28,2,6,0,0,1,9,4,2,0,0,0,2,0,1,4,3,0.214,0.321,0.29,巨人,2015,0.29047913449962076,72.50132496187453,-0.8476266010203792
カステヤーノス,6,22,20,2,2,1,0,0,3,1,0,0,0,0,2,0,0,11,0,0.1,0.15,0.182,巨人,2015,0.16800809560408825,-45.13030161599027,-3.174767265240269
片岡 治大,113,411,348,42,85,13,1,10,130,36,21,9,36,0,25,0,2,36,7,0.244,0.374,0.299,巨人,2015,0.3113305824489734,92.52883318672315,-3.05324300062503
