player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
中澤　雅人,ヤクルト,7.36,28,1,1,0,3,0.5,119,25.2,32,6,9,1,19,21,21,1.60,5.61,2020
國場　翼,西武,7.36,7,0,0,0,1,0.0,55,11.0,14,2,8,0,8,11,9,2.00,6.21,2020
櫻井　周斗,DeNA,7.36,3,0,0,0,0,0.0,35,7.1,12,0,3,0,4,6,6,2.05,3.26,2020
橋本　侑樹,中日,7.41,14,0,0,0,0,0.0,80,17.0,20,3,13,1,13,15,14,1.94,6.36,2020
武藤　祐太,DeNA,7.47,21,0,1,0,0,0.0,154,31.1,42,3,18,1,22,29,26,1.91,4.21,2020
十亀　剣,西武,7.50,8,1,2,0,0,0.333,117,24.0,30,5,13,3,13,21,20,1.79,6.75,2020
阪口　皓亮,DeNA,7.50,3,0,2,0,0,0.0,62,12.0,22,2,7,0,10,10,10,2.42,5.12,2020
生田目　翼,日本ハム,7.50,3,0,1,0,0,0.0,29,6.0,9,1,3,0,5,6,5,2.00,5.12,2020
森原　康平,楽天,7.56,17,1,2,4,2,0.333,81,16.2,23,4,7,1,14,14,14,1.80,5.64,2020
中田　賢一,阪神,7.59,3,0,2,0,0,0.0,53,10.2,18,0,5,0,11,9,9,2.16,2.46,2020
フローレス,ロッテ,7.66,14,2,2,0,1,0.5,108,22.1,27,3,16,0,25,19,19,1.93,4.64,2020
齋藤　友貴哉,阪神,7.71,5,0,0,0,0,0.0,35,7.0,9,1,5,0,11,6,6,2.00,3.98,2020
堀岡　隼人,巨人,7.82,12,0,0,0,1,0.0,62,12.2,16,2,8,0,11,13,11,1.89,5.33,2020
公文　克彦,日本ハム,7.88,29,0,2,1,8,0.0,116,24.0,33,3,11,0,19,24,21,1.83,4.41,2020
クック,ヤクルト,7.88,7,0,3,0,0,0.0,82,16.0,29,2,3,1,6,19,14,2.00,4.75,2020
鈴木　健矢,日本ハム,7.94,11,0,1,0,0,0.0,55,11.1,15,0,7,0,11,10,10,1.94,3.03,2020
風張　蓮,ヤクルト,7.98,11,0,0,0,0,0.0,75,14.2,22,2,9,1,11,13,13,2.11,5.44,2020
高橋　樹也,広島,8.20,18,0,0,0,0,0.0,94,18.2,31,3,8,1,15,18,17,2.09,5.05,2020
山田　大樹,ヤクルト,8.31,2,0,2,0,0,0.0,36,8.2,8,1,4,0,4,8,8,1.38,5.08,2020
佐々木　千隼,ロッテ,8.31,5,0,0,0,0,0.0,23,4.1,7,1,2,1,5,4,4,2.08,5.89,2020
吉田　輝星,日本ハム,8.41,5,0,2,0,0,0.0,99,20.1,26,2,12,1,11,22,19,1.87,5.23,2020
石崎　剛,ロッテ,9.00,12,0,1,0,2,0.0,69,14.0,12,2,15,0,19,14,14,1.93,5.48,2020
大嶺　祐太,ロッテ,9.00,2,0,1,0,0,0.0,45,9.0,15,1,6,0,9,9,9,2.33,4.56,2020
山井　大介,中日,9.00,6,0,0,0,0,0.0,42,8.0,12,1,5,1,5,8,8,2.13,5.75,2020
村西　良太,オリックス,9.00,4,0,1,0,0,0.0,39,8.0,6,2,10,0,5,8,8,2.00,8.87,2020
中﨑　翔太,広島,9.00,6,1,0,0,0,1.0,25,5.0,8,3,3,0,3,5,5,2.20,11.52,2020
石井　将希,阪神,9.00,1,0,0,0,0,0.0,7,1.0,2,0,2,0,0,1,1,4.00,9.12,2020
佐藤　優,中日,9.18,14,0,0,0,4,0.0,77,16.2,18,2,6,2,12,18,17,1.44,4.68,2020
矢崎　拓也,広島,9.39,6,0,0,0,0,0.0,39,7.2,11,3,5,1,10,9,8,2.09,7.95,2020
神戸　文也,オリックス,9.53,5,0,1,0,1,0.0,33,5.2,9,0,7,0,5,7,6,2.82,5.06,2020
釜田　佳直,楽天,9.82,4,0,0,0,0,0.0,26,3.2,9,0,4,1,4,5,4,3.55,5.03,2020
齊藤　大将,西武,9.90,7,0,1,0,0,0.0,51,10.0,15,2,7,1,3,12,11,2.20,7.52,2020
イノーア,ヤクルト,10.13,9,0,3,0,0,0.0,125,24.0,45,8,10,0,15,29,27,2.29,7.45,2020
沼田　翔平,巨人,10.38,5,0,0,0,0,0.0,23,4.1,6,1,4,0,3,5,5,2.31,7.50,2020
Ｋ－鈴木,オリックス,10.54,8,0,2,0,1,0.0,78,13.2,23,4,14,1,10,17,16,2.71,8.75,2020
守屋　功輝,阪神,11.25,3,0,0,0,0,0.0,23,4.0,6,1,4,2,3,5,5,2.50,9.37,2020
古川　侑利,巨人,11.57,5,0,0,0,0,0.0,26,4.2,12,1,1,0,4,6,6,2.79,4.19,2020
マルク,中日,12.00,3,0,0,0,0,0.0,17,3.0,5,1,3,0,3,4,4,2.67,8.45,2020
坂本　光士郎,ヤクルト,12.00,1,0,0,0,0,0.0,19,3.0,5,1,4,1,3,6,4,3.00,10.45,2020
今村　猛,広島,12.46,6,0,0,0,1,0.0,25,4.1,10,0,2,0,1,6,6,2.77,4.04,2020
鈴木　博志,中日,12.91,6,0,0,0,0,0.0,44,7.2,14,2,6,0,4,12,11,2.61,7.82,2020
久保　裕也,楽天,13.50,5,1,0,0,1,1.0,10,2.0,4,0,0,0,1,3,3,2.00,2.12,2020
松岡　洸希,西武,13.50,2,0,0,0,0,0.0,12,2.0,5,0,2,0,0,3,3,3.50,6.12,2020
鈴木　翔天,楽天,13.50,2,0,0,0,0,0.0,8,1.1,2,1,1,2,1,2,2,2.25,18.12,2020
海田　智行,オリックス,14.54,6,0,1,0,2,0.0,22,4.1,8,0,1,0,4,7,7,2.08,1.97,2020
スコット,広島,15.75,7,0,3,0,0,0.0,49,8.0,17,1,8,1,7,14,14,3.13,6.00,2020
飯田　優也,オリックス,15.75,4,1,0,0,0,1.0,24,4.0,11,0,1,0,5,7,7,3.00,0.62,2020
北浦　竜次,日本ハム,16.20,3,0,1,0,0,0.0,22,3.1,9,0,3,0,0,7,6,3.60,5.82,2020
成田　翔,ロッテ,18.00,3,0,0,0,0,0.0,15,3.0,5,2,0,1,3,6,6,1.67,10.79,2020
福永　春吾,阪神,18.00,1,0,0,0,0,0.0,6,1.0,3,0,0,0,1,2,2,3.00,1.12,2020
横山　雄哉,阪神,18.00,1,0,0,0,0,0.0,6,1.0,2,1,1,0,0,2,2,3.00,19.12,2020
笠井　崇正,DeNA,18.00,1,0,0,0,0,0.0,7,1.0,2,0,2,0,1,2,2,4.00,4.12,2020
モンティージャ,広島,18.00,1,0,0,0,0,0.0,6,1.0,3,0,0,0,0,2,2,3.00,3.12,2020
ディプラン,巨人,19.29,2,0,0,0,0,0.0,16,2.1,7,3,2,1,2,5,5,3.86,21.98,2020
左澤　優,オリックス,20.25,2,0,0,0,0,0.0,8,1.1,3,0,1,0,1,3,3,3.00,3.87,2020
三ツ間　卓也,中日,20.77,4,0,0,0,0,0.0,27,4.1,11,1,2,1,7,10,10,3.00,4.97,2020
藤岡　好明,DeNA,21.60,4,0,0,0,1,0.0,12,1.2,4,0,3,0,3,4,4,4.20,4.92,2020
武隈　祥太,西武,22.09,3,0,0,0,0,0.0,28,3.2,9,0,7,0,4,11,9,4.36,6.67,2020
奥川　恭伸,ヤクルト,22.50,1,0,1,0,0,0.0,15,2.0,9,1,0,0,2,5,5,4.50,7.62,2020
尾形　崇斗,ソフトバンク,27.00,1,0,0,0,0,0.0,8,1.0,2,0,3,0,2,3,3,5.00,8.12,2020
藤平　尚真,楽天,-,1,0,0,0,0,0.0,2,0.0,1,0,0,1,0,2,2,-,-,2020
髙橋　純平,ソフトバンク,0.00,10,1,1,0,2,0.5,46,11.0,6,0,6,1,9,1,0,1.09,3.39,2021
池谷　蒼大,DeNA,0.00,6,0,0,0,0,0.0,25,6.2,2,0,2,1,2,0,0,0.60,3.87,2021
田中　健二朗,DeNA,0.00,8,0,0,0,0,0.0,18,4.2,3,0,2,1,6,0,0,1.07,2.48,2021
鈴木　翔天,楽天,0.00,5,0,0,0,0,0.0,19,4.1,3,0,4,0,5,0,0,1.62,3.58,2021
大曲　錬,西武,0.00,4,0,0,0,1,0.0,13,4.0,1,0,2,0,2,0,0,0.75,3.62,2021
岩田　稔,阪神,0.00,3,0,0,0,0,0.0,13,3.0,3,0,0,1,3,0,0,1.00,2.12,2021
成田　翔,ロッテ,0.00,3,0,0,0,0,0.0,14,3.0,3,0,2,0,3,0,0,1.67,3.12,2021
戸田　懐生,巨人,0.00,3,0,0,0,0,0.0,12,3.0,3,0,1,0,0,0,0,1.33,4.12,2021
進藤　拓也,DeNA,0.00,2,0,0,0,0,0.0,6,1.0,0,0,1,2,1,0,0,1.00,10.12,2021
中川　颯,オリックス,0.00,1,0,0,0,0,0.0,5,1.0,2,0,0,0,0,0,0,2.00,3.12,2021
山井　大介,中日,0.00,1,0,0,0,0,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88,2021
南　昌輝,ロッテ,0.00,1,0,0,0,1,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88,2021
武藤　祐太,DeNA,0.00,1,0,0,0,0,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88,2021
斎藤　佑樹,日本ハム,-,1,0,0,0,0,0.0,1,0.0,0,0,1,0,0,0,0,-,-,2021
松坂　大輔,西武,-,1,0,0,0,0,0.0,1,0.0,0,0,1,0,0,0,0,-,-,2021
松井　裕樹,楽天,0.63,43,0,2,24,0,0.0,172,43.0,22,1,21,1,59,3,3,1.00,2.14,2021
公文　克彦,西武,0.79,14,0,0,0,3,0.0,43,11.1,8,0,3,0,8,1,1,0.97,2.50,2021
栗林　良吏,広島,0.86,53,0,1,37,0,0.0,201,52.1,23,1,28,1,81,5,5,0.97,1.82,2021
尾形　崇斗,ソフトバンク,0.87,8,0,0,0,0,0.0,34,10.1,3,1,2,0,9,1,1,0.48,3.22,2021
平良　海馬,西武,0.90,62,3,4,20,21,0.429,247,60.0,36,0,28,5,70,6,6,1.07,2.34,2021
平良　拳太郎,DeNA,0.90,2,0,0,0,0,0.0,39,10.0,6,0,3,0,6,1,1,0.90,2.82,2021
近藤　弘樹,ヤクルト,0.96,22,0,1,0,11,0.0,67,18.2,15,1,2,0,17,2,2,0.91,2.32,2021
モイネロ,ソフトバンク,1.15,33,1,0,5,14,1.0,128,31.1,15,2,19,1,42,6,4,1.09,2.99,2021
スアレス,阪神,1.16,62,1,1,42,0,0.5,229,62.1,40,0,8,0,58,9,8,0.77,1.55,2021
佐々木　千隼,ロッテ,1.26,54,8,1,1,26,0.889,222,57.0,36,4,14,2,28,13,8,0.88,3.84,2021
又吉　克樹,中日,1.28,66,3,2,8,33,0.6,245,63.1,47,2,22,1,41,11,9,1.09,3.23,2021
高田　孝一,楽天,1.35,3,0,0,0,0,0.0,28,6.2,6,1,1,1,6,2,1,1.05,4.17,2021
高橋　樹也,広島,1.37,27,0,0,0,0,0.0,108,26.1,20,3,10,1,16,10,4,1.14,4.64,2021
フローレス,ロッテ,1.38,10,1,0,0,0,1.0,52,13.0,9,0,5,0,11,3,2,1.08,2.35,2021
山本　由伸,オリックス,1.39,26,18,5,0,0,0.783,736,193.2,124,7,40,2,206,37,30,0.85,2.10,2021
国吉　佑樹,ロッテ,1.44,25,2,0,2,17,1.0,106,25.0,18,0,17,0,19,4,4,1.40,3.40,2021
生田目　翼,日本ハム,1.50,1,1,0,0,0,1.0,22,6.0,1,0,3,1,5,1,1,0.67,3.45,2021
ロメロ,ロッテ,1.54,4,1,0,0,0,1.0,95,23.1,19,2,9,0,20,4,4,1.20,3.68,2021
藤嶋　健人,中日,1.59,48,1,0,0,5,1.0,200,51.0,35,3,13,0,38,9,9,0.94,3.16,2021
梅津　晃大,中日,1.59,3,0,1,0,0,0.0,51,11.1,6,0,10,2,7,3,2,1.41,5.06,2021
マルティネス,ソフトバンク,1.60,21,9,4,0,0,0.692,553,140.2,108,6,38,5,138,25,25,1.04,2.63,2021
髙橋　遥人,阪神,1.65,7,4,2,0,0,0.667,181,49.0,30,1,5,0,55,10,9,0.71,1.45,2021
野上　亮磨,巨人,1.65,9,0,1,1,4,0.0,63,16.1,8,1,6,0,15,3,3,0.86,3.00,2021
菊池　保則,広島,1.71,33,2,1,0,3,0.667,140,31.2,31,3,13,3,25,7,6,1.39,4.10,2021
武隈　祥太,西武,1.76,46,0,2,0,9,0.0,120,30.2,17,2,14,0,25,7,6,1.01,3.61,2021
比嘉　幹貴,オリックス,1.77,32,1,0,0,11,1.0,75,20.1,14,2,4,0,15,4,4,0.89,2.92,2021
井口　和朋,日本ハム,1.86,43,1,2,0,11,0.333,151,38.2,24,4,10,2,33,11,8,0.88,3.69,2021
谷元　圭介,中日,2.01,32,1,1,0,14,0.5,92,22.1,23,3,1,1,18,6,5,1.07,3.52,2021
レイ,ソフトバンク,2.03,6,3,1,0,0,0.75,150,40.0,22,3,13,3,38,10,9,0.88,3.40,2021
古谷　優人,ソフトバンク,2.03,13,1,1,0,2,0.5,56,13.1,7,0,7,1,13,4,3,1.05,2.97,2021
Ｒ．マルティネス,中日,2.06,49,1,4,23,0,0.2,178,48.0,26,1,10,1,59,11,11,0.75,1.56,2021
安樂　智大,楽天,2.08,58,3,3,2,22,0.5,240,56.1,45,4,33,2,50,13,13,1.38,4.13,2021
吉田　凌,オリックス,2.12,18,1,1,0,4,0.5,62,17.0,7,3,4,0,17,5,4,0.65,4.12,2021
田中　正義,ソフトバンク,2.16,18,0,0,0,1,0.0,67,16.2,9,2,8,0,14,5,4,1.02,4.44,2021
津森　宥紀,ソフトバンク,2.18,45,1,0,0,11,1.0,132,33.0,24,2,8,2,43,8,8,0.97,2.12,2021
柳　裕也,中日,2.20,26,11,6,0,0,0.647,676,172.0,133,11,41,3,168,47,42,1.01,2.75,2021
宋　家豪,楽天,2.23,63,3,3,7,24,0.5,246,60.2,46,2,23,2,49,18,15,1.14,3.07,2021
益田　直也,ロッテ,2.24,67,3,6,38,0,0.333,248,64.1,43,5,15,0,68,17,16,0.90,2.67,2021
小林　慶祐,阪神,2.25,22,0,1,0,4,0.0,86,20.0,17,1,11,0,16,8,5,1.40,3.67,2021
望月　大希,日本ハム,2.25,2,0,0,0,0,0.0,16,4.0,2,0,3,0,1,1,1,1.25,4.87,2021
清水　達也,中日,2.25,1,0,1,0,0,0.0,19,4.0,5,0,4,0,1,1,1,2.25,5.62,2021
佐々木　朗希,ロッテ,2.27,11,3,2,0,0,0.6,258,63.1,51,5,16,0,68,24,16,1.06,2.71,2021
山田　修義,オリックス,2.27,43,1,0,0,9,1.0,186,43.2,38,2,19,1,35,14,11,1.31,3.35,2021
酒居　知史,楽天,2.28,54,4,3,3,28,0.571,206,51.1,33,3,24,0,44,15,13,1.11,3.51,2021
東　克樹,DeNA,2.29,3,1,2,0,0,0.333,75,19.2,10,1,4,0,20,5,5,0.71,2.36,2021
原　樹理,ヤクルト,2.30,9,3,1,0,0,0.75,198,47.0,45,0,12,4,25,14,12,1.21,2.95,2021
平野　佳寿,オリックス,2.30,46,1,3,29,3,0.25,163,43.0,30,4,9,0,37,11,11,0.91,3.24,2021
水上　由伸,西武,2.33,29,0,1,0,4,0.0,114,27.0,19,1,16,1,22,7,7,1.30,3.86,2021
大関　友久,ソフトバンク,2.35,12,0,0,0,0,0.0,88,23.0,12,1,10,2,13,6,6,0.96,4.12,2021
堀　瑞輝,日本ハム,2.36,60,3,2,0,39,0.6,229,53.1,36,3,30,4,56,14,14,1.24,3.61,2021
福山　博之,楽天,2.38,24,0,2,0,4,0.0,101,22.2,23,3,12,0,13,6,6,1.54,5.28,2021
清水　昇,ヤクルト,2.39,72,3,6,1,50,0.333,272,67.2,55,12,18,2,74,23,18,1.08,3.90,2021
伊藤　将司,阪神,2.44,23,10,7,0,1,0.588,557,140.1,119,15,34,3,79,42,38,1.09,4.11,2021
立野　和明,日本ハム,2.45,11,4,3,0,0,0.571,224,55.0,39,3,23,3,47,16,15,1.13,3.54,2021
田島　慎二,中日,2.45,22,2,1,0,8,0.667,74,18.1,15,0,6,0,22,5,5,1.15,1.70,2021
中川　皓太,巨人,2.47,58,4,3,1,25,0.571,220,54.2,47,2,10,5,49,17,15,1.04,2.57,2021
青柳　晃洋,阪神,2.48,25,13,6,0,0,0.684,651,156.1,143,11,48,3,104,48,43,1.22,3.53,2021
梅野　雄吾,ヤクルト,2.49,29,0,0,0,8,0.0,106,25.1,22,4,9,2,29,7,7,1.22,4.19,2021
宮城　大弥,オリックス,2.51,23,13,4,0,0,0.765,594,147.0,118,9,39,9,131,44,41,1.07,3.09,2021
マクガフ,ヤクルト,2.52,66,3,2,31,14,0.6,259,64.1,43,7,23,3,76,19,18,1.03,3.29,2021
板東　湧梧,ソフトバンク,2.52,44,0,2,1,16,0.0,165,39.1,28,4,17,2,41,13,11,1.14,3.73,2021
ヒギンス,オリックス,2.53,49,1,2,2,28,0.333,195,46.1,37,3,19,1,36,14,13,1.21,3.70,2021
エドワーズ,阪神,2.57,7,0,0,0,0,0.0,31,7.0,6,1,4,0,7,3,2,1.43,4.69,2021
祖父江　大輔,中日,2.59,55,1,2,5,19,0.333,208,48.2,59,1,9,1,30,18,14,1.40,2.77,2021
海田　智行,オリックス,2.61,16,0,1,0,5,0.0,43,10.1,8,0,4,0,5,3,3,1.16,3.02,2021
岩崎　優,阪神,2.65,62,3,4,1,41,0.429,230,57.2,47,6,15,0,51,21,17,1.08,3.38,2021
千賀　滉大,ソフトバンク,2.66,13,10,3,0,0,0.769,340,84.2,60,2,27,2,90,25,25,1.03,2.33,2021
武田　翔太,ソフトバンク,2.68,12,4,5,0,0,0.444,314,77.1,66,7,24,2,73,23,23,1.16,3.42,2021
秋吉　亮,日本ハム,2.70,10,0,0,0,0,0.0,42,10.0,7,0,4,0,8,3,3,1.10,2.42,2021
有吉　優樹,DeNA,2.70,1,0,1,0,0,0.0,27,6.2,8,1,0,0,3,2,2,1.20,4.17,2021
秋山　拓巳,阪神,2.71,24,10,7,0,0,0.588,539,132.2,121,18,25,3,107,43,40,1.10,3.84,2021
今村　信貴,巨人,2.71,17,3,4,0,0,0.429,274,63.0,66,5,22,3,59,21,19,1.40,3.47,2021
富山　凌雅,オリックス,2.72,51,2,1,0,20,0.667,189,46.1,37,2,17,0,34,16,14,1.17,3.31,2021
唐川　侑己,ロッテ,2.72,38,4,2,0,22,0.667,150,36.1,29,4,13,1,26,11,11,1.16,4.28,2021
泉　圭輔,ソフトバンク,2.73,31,1,2,0,6,0.333,111,26.1,20,4,13,3,30,10,8,1.25,4.64,2021
Ｂ．ロドリゲス,日本ハム,2.74,47,0,2,3,24,0.0,194,46.0,40,4,20,3,34,17,14,1.30,4.14,2021
金久保　優斗,ヤクルト,2.74,10,4,1,0,0,0.8,180,42.2,39,3,16,2,34,14,13,1.29,3.71,2021
今野　龍太,ヤクルト,2.76,64,7,1,0,28,0.875,268,62.0,55,1,25,3,63,19,19,1.29,2.65,2021
森原　康平,楽天,2.78,34,0,0,0,3,0.0,132,32.1,29,3,8,0,30,10,10,1.14,3.03,2021
與座　海人,西武,2.79,15,1,1,0,1,0.5,157,38.2,31,3,10,4,28,12,12,1.06,3.77,2021
伊勢　大夢,DeNA,2.80,39,0,1,0,6,0.0,144,35.1,30,0,15,1,38,11,11,1.27,2.16,2021
上沢　直之,日本ハム,2.81,24,12,6,0,0,0.667,643,160.1,119,8,48,4,135,53,50,1.04,3.04,2021
大西　広樹,ヤクルト,2.82,33,3,0,0,7,1.0,159,38.1,36,4,12,2,24,12,12,1.25,4.24,2021
デラロサ,巨人,2.83,46,1,0,7,13,1.0,175,41.1,38,3,12,2,34,15,13,1.21,3.43,2021
田中　豊樹,巨人,2.84,39,0,0,0,2,0.0,152,38.0,22,5,20,1,37,13,12,1.11,4.38,2021
高橋　奎二,ヤクルト,2.87,14,4,1,0,0,0.8,320,78.1,59,9,25,6,80,25,25,1.07,3.64,2021
東妻　勇輔,ロッテ,2.88,37,1,0,0,4,1.0,149,34.1,38,4,9,2,29,16,11,1.37,3.91,2021
伊藤　大海,日本ハム,2.90,23,10,9,0,0,0.526,610,146.0,125,8,53,6,141,51,47,1.22,3.09,2021
田村　伊知郎,西武,2.90,22,1,0,1,0,1.0,130,31.0,17,2,16,4,20,10,10,1.06,4.41,2021
ビエイラ,巨人,2.93,56,0,3,19,1,0.0,228,55.1,38,3,26,1,64,18,18,1.16,2.98,2021
大野　雄大,中日,2.95,22,7,11,0,0,0.389,566,143.1,121,12,26,2,118,48,47,1.03,3.13,2021
ガンケル,阪神,2.95,20,9,3,0,0,0.75,465,113.0,99,10,24,3,87,39,37,1.09,3.42,2021
小川　一平,阪神,2.95,19,1,0,0,2,1.0,83,21.1,15,2,7,0,19,7,7,1.03,3.54,2021
杉浦　稔大,日本ハム,2.96,56,3,3,28,1,0.5,221,54.2,34,9,24,1,69,18,18,1.06,3.94,2021
森下　暢仁,広島,2.98,24,8,7,0,0,0.533,672,163.1,144,16,52,3,132,55,54,1.20,3.73,2021
河野　竜生,日本ハム,2.99,40,3,6,0,9,0.333,376,90.1,74,7,31,4,68,35,30,1.16,3.72,2021
森　博人,中日,3.00,10,0,0,0,0,0.0,58,12.0,11,0,9,3,15,4,4,1.67,3.62,2021
ロサリオ,中日,3.00,9,0,0,0,0,0.0,40,9.0,8,1,6,2,3,4,3,1.56,6.56,2021
田中　将大,楽天,3.01,23,4,9,0,0,0.308,624,155.2,131,17,29,5,126,54,52,1.03,3.58,2021
ロメロ,DeNA,3.01,14,5,3,0,0,0.625,349,80.2,89,4,30,5,44,38,27,1.48,3.98,2021
Ｋ－鈴木,オリックス,3.03,34,1,0,2,2,1.0,164,38.2,34,2,14,1,28,15,13,1.24,3.35,2021
漆原　大晟,オリックス,3.03,34,2,2,2,4,0.5,148,35.2,30,4,14,1,23,13,12,1.23,4.47,2021
大瀬良　大地,広島,3.07,23,10,5,0,0,0.667,600,146.2,136,12,31,5,102,57,50,1.14,3.49,2021
畠　世周,巨人,3.07,52,4,3,1,11,0.571,390,96.2,83,13,25,4,97,37,33,1.12,3.73,2021
石川　雅規,ヤクルト,3.07,17,4,5,0,0,0.444,335,82.0,81,10,16,3,54,31,28,1.18,4.05,2021
櫻井　周斗,DeNA,3.07,30,0,1,0,1,0.0,181,41.0,36,3,29,0,37,15,14,1.59,4.32,2021
今永　昇太,DeNA,3.08,19,5,5,0,0,0.5,476,120.0,97,16,26,4,110,43,41,1.03,3.70,2021
中村　稔弥,ロッテ,3.08,14,0,2,0,0,0.0,172,38.0,40,3,18,1,27,19,13,1.53,4.15,2021
島内　颯太郎,広島,3.12,51,0,2,0,15,0.0,205,49.0,44,4,14,0,51,20,17,1.18,2.96,2021
玉井　大翔,日本ハム,3.16,50,0,0,0,8,0.0,185,42.2,41,2,19,4,23,18,15,1.41,4.13,2021
則本　昂大,楽天,3.17,23,11,5,0,0,0.688,584,144.2,123,18,35,3,152,56,51,1.09,3.42,2021
森浦　大輔,広島,3.17,54,3,3,0,17,0.5,206,48.1,39,3,21,4,41,18,17,1.24,3.72,2021
福　敬登,中日,3.18,57,2,2,0,20,0.5,185,45.1,37,4,15,3,38,16,16,1.15,3.65,2021
菅野　智之,巨人,3.19,19,6,7,0,0,0.462,465,115.2,90,15,25,7,102,41,41,0.99,3.85,2021
床田　寛樹,広島,3.19,16,5,4,0,1,0.556,374,87.1,91,5,24,2,80,32,31,1.32,2.93,2021
鍵谷　陽平,巨人,3.19,59,3,0,1,15,1.0,182,42.1,39,5,18,0,30,19,15,1.35,4.51,2021
松葉　貴大,中日,3.20,14,6,5,0,0,0.545,309,76.0,74,7,15,2,41,30,27,1.17,3.91,2021
杉山　一樹,ソフトバンク,3.20,15,2,2,0,1,0.5,117,25.1,13,1,31,2,29,9,9,1.74,5.25,2021
瀧中　瞭太,楽天,3.21,20,10,5,0,0,0.667,427,103.2,97,10,27,4,75,40,37,1.20,3.82,2021
砂田　毅樹,DeNA,3.24,58,2,2,0,18,0.5,166,41.2,26,1,13,2,27,15,15,0.94,3.07,2021
奥川　恭伸,ヤクルト,3.26,18,9,4,0,0,0.692,413,105.0,99,11,10,2,91,38,38,1.04,3.09,2021
山﨑　康晃,DeNA,3.27,60,3,2,1,27,0.6,229,55.0,58,2,14,3,39,21,20,1.31,3.05,2021
西口　直人,楽天,3.28,33,5,2,0,3,0.714,239,57.2,46,7,23,2,55,23,21,1.20,3.99,2021
今井　達也,西武,3.30,25,8,8,0,0,0.5,682,158.1,123,15,99,11,137,66,58,1.40,4.69,2021
牧田　和久,楽天,3.31,17,0,0,0,2,0.0,72,16.1,17,2,3,1,5,10,6,1.22,4.83,2021
アーリン,日本ハム,3.32,11,2,3,0,0,0.4,161,38.0,40,3,11,2,33,15,14,1.34,3.44,2021
石川　歩,ロッテ,3.38,12,6,3,0,0,0.667,310,80.0,73,10,9,0,42,30,30,1.03,4.03,2021
エスコバー,DeNA,3.38,61,4,4,1,32,0.5,229,58.2,39,7,11,4,50,23,22,0.85,3.73,2021
十亀　剣,西武,3.38,40,1,1,0,8,0.5,176,40.0,41,1,19,2,26,18,15,1.50,3.72,2021
田浦　文丸,ソフトバンク,3.38,19,1,0,0,1,1.0,90,21.1,22,1,7,0,17,8,8,1.36,2.98,2021
西　純矢,阪神,3.38,2,1,1,0,0,0.5,34,8.0,4,0,7,0,2,3,3,1.38,5.25,2021
横川　凱,巨人,3.38,2,0,1,0,0,0.0,37,8.0,9,2,2,0,9,4,3,1.38,4.87,2021
北浦　竜次,日本ハム,3.38,3,0,0,0,0,0.0,23,5.1,5,1,2,0,4,2,2,1.31,5.18,2021
髙橋　優貴,巨人,3.39,27,11,9,0,0,0.55,598,140.2,125,18,61,2,76,57,53,1.32,5.00,2021
石川　柊太,ソフトバンク,3.40,28,6,9,0,0,0.4,653,156.1,135,22,51,17,134,70,59,1.19,4.54,2021
サイスニード,ヤクルト,3.41,13,6,2,0,0,0.75,279,68.2,60,9,23,2,69,29,26,1.21,3.91,2021
加藤　貴之,日本ハム,3.42,25,6,7,0,0,0.462,595,150.0,136,13,21,3,102,61,57,1.05,3.35,2021
岸　孝之,楽天,3.44,25,9,10,0,0,0.474,620,149.0,149,17,34,1,131,62,57,1.23,3.55,2021
渡邉　勇太朗,西武,3.44,17,4,4,0,2,0.5,232,55.0,43,3,30,3,33,24,21,1.33,4.43,2021
河村　説人,ロッテ,3.46,20,4,1,0,0,0.8,178,41.2,39,4,17,0,28,16,16,1.34,4.03,2021
石橋　良太,楽天,3.46,3,0,1,0,0,0.0,56,13.0,12,2,6,1,4,5,5,1.38,6.12,2021
小野　郁,ロッテ,3.48,49,0,3,0,8,0.0,220,51.2,37,4,26,2,56,25,20,1.22,3.53,2021
西村　天裕,日本ハム,3.48,27,0,0,0,1,0.0,139,31.0,33,2,12,3,32,16,12,1.45,3.15,2021
アルカンタラ,阪神,3.49,24,3,3,0,6,0.5,243,59.1,55,6,14,0,48,25,23,1.16,3.47,2021
山﨑　福也,オリックス,3.56,22,8,10,0,0,0.444,473,116.1,111,13,24,6,75,47,46,1.16,4.06,2021
山口　俊,巨人,3.56,15,2,8,0,0,0.2,337,78.1,66,6,37,3,83,34,31,1.31,3.49,2021
田嶋　大樹,オリックス,3.58,24,8,8,0,0,0.5,608,143.1,137,10,48,5,135,62,57,1.29,3.23,2021
石山　泰稚,ヤクルト,3.60,58,0,5,10,9,0.0,226,55.0,54,6,10,0,64,23,22,1.16,2.76,2021
塩見　貴洋,楽天,3.60,1,0,0,0,0,0.0,21,5.0,5,0,1,0,4,2,2,1.20,2.12,2021
スアレス,ヤクルト,3.62,24,5,3,1,3,0.625,339,77.0,82,9,32,5,70,32,31,1.48,4.26,2021
高梨　裕稔,ヤクルト,3.63,12,4,1,0,0,0.8,264,62.0,62,11,15,3,56,28,25,1.24,4.44,2021
