player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
歳内　宏明,阪神,2.62,29,1,1,0,2,0.5,144,34.1,15,1,27,1,23,10,10,1.22,4.52,2015
飯田　哲矢,広島,2.65,16,0,0,0,0,0.0,72,17.0,12,1,10,0,11,6,5,1.29,4.36,2015
森　唯斗,ソフトバンク,2.69,55,5,2,0,16,0.714,234,60.1,46,3,10,1,66,18,18,0.93,2.13,2015
宮西　尚生,日本ハム,2.70,50,3,3,0,25,0.5,163,40.0,29,4,11,1,30,19,12,1.00,3.75,2015
祖父江　大輔,中日,2.70,33,0,2,1,2,0.0,144,33.1,32,1,7,2,28,10,10,1.17,2.64,2015
田口　麗斗,巨人,2.71,13,3,5,0,0,0.375,274,66.1,54,5,26,3,64,26,20,1.21,3.44,2015
呉　昇桓,阪神,2.73,63,2,3,41,7,0.4,289,69.1,64,6,16,2,66,21,21,1.15,3.12,2015
山口　鉄也,巨人,2.73,60,4,5,2,29,0.444,216,52.2,48,5,15,2,31,18,16,1.20,4.15,2015
福山　博之,楽天,2.76,65,2,3,1,22,0.4,248,58.2,62,2,21,1,29,21,18,1.41,3.60,2015
柳瀬　明宏,ソフトバンク,2.79,8,1,1,0,2,0.5,44,9.2,9,0,6,0,13,3,3,1.55,2.29,2015
青山　浩二,楽天,2.81,61,4,5,0,31,0.444,223,57.2,37,3,18,1,58,18,18,0.95,2.72,2015
武隈　祥太,西武,2.83,67,6,1,1,11,0.857,255,57.1,55,1,36,1,36,18,18,1.59,3.92,2015
菊池　雄星,西武,2.84,23,9,10,0,0,0.474,542,133.0,97,9,55,2,122,48,42,1.14,3.43,2015
福地　元春,DeNA,2.87,13,0,0,0,0,0.0,74,15.2,16,0,12,0,16,9,5,1.79,3.38,2015
戸根　千明,巨人,2.88,46,1,1,1,5,0.5,168,40.2,26,3,18,0,39,13,13,1.08,3.49,2015
石田　健大,DeNA,2.89,12,2,6,0,0,0.25,300,71.2,67,6,26,1,58,23,23,1.30,3.72,2015
館山　昌平,ヤクルト,2.89,11,6,3,0,0,0.667,260,62.1,44,4,36,4,36,22,20,1.28,4.68,2015
安部　建輝,DeNA,2.89,5,0,1,0,0,0.0,38,9.1,6,1,6,0,6,3,3,1.29,5.16,2015
則本　昂大,楽天,2.91,28,10,11,0,0,0.476,797,194.2,176,14,48,4,215,68,63,1.15,2.65,2015
高橋　朋己,西武,2.92,62,2,3,22,14,0.4,264,61.2,49,3,26,5,55,21,20,1.22,3.43,2015
香月　良仁,ロッテ,2.92,40,1,1,1,2,0.5,221,52.1,51,4,16,2,36,18,17,1.28,3.77,2015
杉浦　稔大,ヤクルト,2.92,7,1,3,0,0,0.25,164,37.0,35,2,21,0,25,12,12,1.51,4.09,2015
黒沢　翔太,ロッテ,2.92,6,0,1,0,0,0.0,53,12.1,15,1,2,0,4,6,4,1.38,4.01,2015
ポレダ,巨人,2.94,24,8,8,0,0,0.5,619,147.0,133,6,46,8,101,57,48,1.22,3.34,2015
宮國　椋丞,巨人,2.94,39,3,1,1,5,0.75,194,49.0,38,4,15,0,28,17,16,1.08,3.90,2015
エレラ,DeNA,2.96,52,5,4,0,22,0.556,211,51.2,44,2,15,2,53,17,17,1.14,2.44,2015
メッセンジャー,阪神,2.97,29,9,12,0,0,0.429,799,193.2,163,10,60,4,194,68,64,1.15,2.78,2015
今井　啓介,広島,3.00,11,0,1,0,1,0.0,71,18.0,16,2,2,1,11,7,6,1.00,3.84,2015
大塚　豊,日本ハム,3.00,2,0,0,0,0,0.0,13,3.0,1,0,3,0,1,1,1,1.33,5.45,2015
メンドーサ,巨人,3.00,2,0,0,0,1,0.0,13,3.0,3,0,1,0,3,1,1,1.33,1.12,2015
岸　孝之,西武,3.02,16,5,6,0,0,0.455,434,110.1,75,6,25,5,91,40,37,0.91,2.99,2015
福原　忍,阪神,3.02,61,6,4,1,33,0.6,223,53.2,55,4,18,0,40,19,18,1.36,3.60,2015
安藤　優也,阪神,3.02,50,5,4,0,15,0.556,184,44.2,43,4,11,2,32,17,15,1.21,3.59,2015
高宮　和也,阪神,3.03,52,2,0,0,8,1.0,157,35.2,35,2,15,3,27,14,12,1.40,3.85,2015
中澤　雅人,ヤクルト,3.03,35,1,2,0,3,0.333,136,29.2,32,2,15,1,21,12,10,1.58,4.10,2015
